NAMES,PRICES,RATINGS,IMAGES
"Samsung Galaxy F05 (Twilight Blue, 64 GB)","₹6,249",4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/e/r/f/-original-imah56hkgehywn5b.jpeg?q=70
"Samsung Galaxy A35 5G (Awesome Lilac, 256 GB)","₹19,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/2/s/8/-original-imahgy26fu3z2hez.jpeg?q=70
"Samsung Galaxy F06 5G (Bahama Blue, 128 GB)","₹8,999",4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/v/o/d/-original-imahfvrmfkwybeyc.jpeg?q=70
"Moto g06 power (Laurel Oak, 64 GB)","₹7,499",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/9/c/g/-original-imahgctgvra6qqwq.jpeg?q=70
"vivo T4R 5G (Twilight Blue, 256 GB)","₹21,499",4.5,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/2/3/i/-original-imahfkvffkd4qhma.jpeg?q=70
"realme P3 Pro 5G (Nebula Glow, 256 GB)","₹16,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/c/y/n/-original-imah9m58zvvd44hf.jpeg?q=70
"Samsung Galaxy S24 FE 5G (Graphite, 256 GB)","₹34,999",4.5,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/g/d/g/-original-imahfw4ahckefvxe.jpeg?q=70
"MOTOROLA g05 (Plum Red, 64 GB)","₹6,999",4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/d/j/b/-original-imah83ezvx8m7hs6.jpeg?q=70
"Infinix Note 50s 5G+ 45W Charger In the Box & AI (Marine Drift, 128 GB)","₹15,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/x/i/o/-original-imahfr5gpevz4zrv.jpeg?q=70
"POCO C71 (Desert Gold, 128 GB)","₹6,799",4.1,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/h/l/a/-original-imahg2ny5htzbrjb.jpeg?q=70
"vivo T4 Pro 5G (Blaze Gold, 256 GB)","₹29,999",4.5,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/4/c/b/-original-imahfkvezr4fcets.jpeg?q=70
